name,age,position_cat,market_value,page_views,fpl_value,fpl_sel,fpl_points,region,new_foreign,age_cat,club_id,big_club,new_signing,position_AM,position_CB,position_CF,position_CM,position_DM,position_GK,position_LB,position_LM,position_LW,position_RB,position_RM,position_RW,position_SS
Emre Can,23,2,15.0,1253,5.0,0.066,104,2.0,0,2,10,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Joel Matip,25,3,25.0,1313,5.5,0.023,97,2.0,0,3,10,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Divock Origi,22,1,12.0,1092,7.5,0.004,96,2.0,0,2,10,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Jordan Henderson,27,2,28.0,1236,5.5,0.018000000000000002,73,1.0,0,3,10,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Daniel Sturridge,27,1,20.0,2042,8.0,0.043,54,1.0,0,3,10,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Lucas Leiva,30,2,7.0,998,4.5,0.003,47,3.0,0,4,10,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Ragnar Klavan,31,3,3.5,875,4.5,0.004,43,2.0,0,4,10,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Mamadou Sakho,27,3,15.0,934,5.0,0.001,35,2.0,0,3,10,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Loris Karius,24,4,8.0,1255,5.0,0.002,32,2.0,0,2,10,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Trent Alexander-Arnold,18,3,1.5,327,4.5,0.003,15,2.0,0,1,10,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Alberto Moreno,25,3,10.0,397,4.5,0.003,8,2.0,0,3,10,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Ben Woodburn,17,1,1.5,1241,4.5,0.001,5,1.0,0,1,10,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Marko Grujic,21,2,5.0,615,4.5,0.002,4,2.0,0,1,10,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Joe Gomez,20,3,4.0,460,4.5,0.004,0,1.0,0,1,10,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Sheyi Ojo,20,1,2.0,383,5.0,0.001,0,1.0,0,1,10,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Mohamed Salah,25,1,35.0,1117,9.0,0.124,0,4.0,1,3,10,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Danny Ings,24,1,8.0,748,5.5,0.001,0,1.0,0,2,10,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Dominic Solanke,19,1,2.0,671,5.0,0.02,0,1.0,0,1,10,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Kevin De Bruyne,26,1,65.0,2252,10.0,0.17500000000000002,199,2.0,0,3,11,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Sergio Aguero,29,1,65.0,4046,11.5,0.097,175,3.0,0,4,11,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Raheem Sterling,22,1,45.0,2074,8.0,0.038,149,1.0,0,2,11,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Kyle Walker,27,3,30.0,1008,6.5,0.185,142,1.0,0,3,11,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
David Silva,31,1,30.0,1434,8.0,0.033,130,2.0,0,4,11,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Leroy Sane,21,1,35.0,2302,8.5,0.08800000000000001,105,2.0,0,1,11,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
Nicolas Otamendi,29,3,30.0,621,5.5,0.033,100,3.0,0,4,11,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Aleksandar Kolarov,31,3,10.0,633,5.5,0.011,95,2.0,0,4,11,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Yaya Toure,34,2,8.0,2318,6.5,0.025,86,4.0,0,6,11,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Fernandinho,32,2,18.0,595,5.0,0.008,78,3.0,0,5,11,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Claudio Bravo,34,4,8.0,436,5.0,0.012,73,3.0,0,6,11,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Gabriel Jesus,20,1,30.0,4254,10.5,0.152,67,3.0,0,1,11,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
John Stones,23,3,35.0,1078,5.5,0.023,59,1.0,0,2,11,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Vincent Kompany,31,3,22.0,935,6.0,0.066,57,2.0,0,4,11,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Kelechi Iheanacho,20,1,15.0,1662,7.0,0.015,52,4.0,0,1,11,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Ilkay Gundogan,26,2,30.0,1586,5.5,0.01,41,2.0,0,3,11,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Fernando,32,2,18.0,338,4.5,0.004,18,3.0,0,5,11,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Fabian Delph,27,2,8.0,520,4.5,0.004,13,1.0,0,3,11,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Ederson Moraes,23,4,22.0,297,5.5,0.045,0,3.0,1,2,11,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Bernardo Silva,22,1,40.0,1098,8.0,0.046,0,2.0,1,2,11,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Romelu Lukaku,24,1,50.0,3727,11.5,0.45,221,2.0,0,2,12,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
David de Gea,26,4,40.0,2126,5.5,0.261,136,2.0,0,3,12,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Antonio Valencia,31,3,10.0,1561,6.5,0.06200000000000001,120,3.0,0,4,12,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Paul Pogba,24,2,75.0,7435,8.0,0.195,115,2.0,0,2,12,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Eric Bailly,23,3,30.0,1588,6.0,0.102,105,4.0,0,2,12,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Juan Mata,29,1,30.0,2280,7.0,0.035,102,2.0,0,4,12,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Daley Blind,27,3,22.0,867,5.5,0.012,98,2.0,0,3,12,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Ander Herrera,27,2,30.0,1603,5.5,0.077,97,2.0,0,3,12,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Anthony Martial,21,1,30.0,2430,8.0,0.006,95,2.0,0,1,12,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Marcos Rojo,27,3,18.0,1063,5.5,0.001,77,3.0,0,3,12,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Marcus Rashford,19,1,18.0,3668,7.5,0.048,76,1.0,0,1,12,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Henrikh Mkhitaryan,28,1,35.0,3312,8.0,0.045,73,4.0,0,4,12,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Matteo Darmian,27,3,12.0,1640,5.5,0.003,70,2.0,0,3,12,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Jesse Lingard,24,1,12.0,1939,6.0,0.006999999999999999,60,1.0,0,2,12,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Phil Jones,25,3,14.0,808,5.0,0.004,55,1.0,0,3,12,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Chris Smalling,27,3,18.0,834,5.5,0.013,52,1.0,0,3,12,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Marouane Fellaini,29,2,12.0,1498,5.0,0.002,48,2.0,0,4,12,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Luke Shaw,22,3,20.0,947,5.0,0.004,45,1.0,0,2,12,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Michael Carrick,35,2,1.5,1789,4.5,0.018000000000000002,42,1.0,0,6,12,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Ashley Young,32,2,5.0,936,5.0,0.0,26,1.0,0,5,12,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Sergio Romero,30,4,6.0,849,5.0,0.002,23,3.0,0,4,12,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Axel Tuanzebe,19,3,1.0,279,4.0,0.017,14,1.0,0,1,12,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Timothy Fosu-Mensah,19,2,2.5,860,4.5,0.002,9,2.0,0,1,12,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Joel Castro Pereira,21,4,0.1,395,4.0,0.01,6,2.0,0,1,12,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Victor Lindelof,23,3,22.0,950,5.5,0.17,0,2.0,1,2,12,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Rob Elliot,31,4,1.0,134,4.0,0.135,0,2.0,0,4,13,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Karl Darlow,26,4,4.5,235,4.5,0.011,0,1.0,0,3,13,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
DeAndre Yedlin,24,3,5.0,764,4.5,0.052000000000000005,0,3.0,0,2,13,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Ciaran Clark,27,3,5.0,273,4.5,0.009000000000000001,0,2.0,0,3,13,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Lascelles,27,3,5.0,400,4.5,0.036000000000000004,0,1.0,0,3,13,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Paul Dummett,25,3,3.5,177,4.5,0.01,0,2.0,0,3,13,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Grant Hanley,25,3,4.5,265,4.0,0.025,0,2.0,0,3,13,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Jesus Gamez,32,3,2.5,186,4.0,0.023,0,2.0,0,5,13,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Florian Lejeune,26,3,5.0,65,4.5,0.01,0,2.0,0,3,13,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Massadio Haidara,24,3,1.5,114,4.0,0.005,0,2.0,0,2,13,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Matt Ritchie,27,2,9.0,566,6.0,0.042,0,2.0,0,3,13,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Jonjo Shelvey,25,2,11.0,747,5.5,0.025,0,1.0,0,3,13,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Mohamed Diame,30,2,6.0,339,5.0,0.005,0,4.0,0,4,13,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Jack Colback,27,2,5.0,181,4.5,0.011,0,1.0,0,3,13,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Christian Atsu,25,1,5.0,641,5.0,0.021,0,4.0,0,3,13,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Siem de Jong,28,1,5.5,341,5.0,0.001,0,2.0,0,4,13,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Rolando Aarons,21,1,0.75,170,4.5,0.001,0,1.0,0,1,13,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Dwight Gayle,26,1,10.0,1351,6.5,0.114,0,1.0,0,3,13,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Ayoze Perez,23,1,8.0,368,5.5,0.016,0,2.0,0,2,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Aleksandar Mitrovic,22,1,10.0,781,5.0,0.025,0,2.0,0,2,13,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Daryl Murphy,34,1,1.5,541,4.5,0.028,0,2.0,0,6,13,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Fraser Forster,29,4,15.0,548,5.0,0.073,134,1.0,0,4,14,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Nathan Redmond,23,1,15.0,706,6.5,0.113,126,1.0,0,2,14,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
Ryan Bertrand,27,3,20.0,578,5.5,0.112,123,1.0,0,3,14,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
DuÅ¡an TadiÄ‡,28,1,17.0,458,6.5,0.049,108,2.0,0,4,14,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Cedric Soares,25,3,15.0,338,5.0,0.16399999999999998,102,2.0,0,3,14,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
James Ward-Prowse,22,2,15.0,416,5.5,0.022,92,1.0,0,2,14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Oriol Romeu,25,2,10.0,476,4.5,0.042,80,2.0,0,3,14,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Maya Yoshida,28,3,5.0,317,5.0,0.011,78,4.0,0,4,14,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Steven Davis,32,2,6.0,310,5.0,0.002,77,2.0,0,5,14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Virgil van Dijk,26,3,30.0,1102,5.5,0.04,75,2.0,0,3,14,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Charlie Austin,28,1,13.0,874,6.5,0.021,62,1.0,0,4,14,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Jack Stephens,23,3,3.5,249,5.0,0.004,60,1.0,0,2,14,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Shane Long,30,1,9.0,703,6.0,0.003,57,2.0,0,4,14,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Sofiane Boufal,23,1,15.0,590,6.0,0.003,40,4.0,0,2,14,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Jordy Clasie,26,2,10.0,201,4.5,0.004,38,2.0,0,3,14,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Pierre-Emile Hojbjerg,21,2,8.0,368,4.5,0.004,38,2.0,0,1,14,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Manolo Gabbiadini,25,1,15.0,2012,7.0,0.052000000000000005,38,2.0,0,3,14,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Sam McQueen,22,2,0.75,221,4.5,0.001,23,1.0,0,2,14,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Matt Targett,21,3,3.0,110,4.5,0.002,12,1.0,0,1,14,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Josh Sims,20,1,0.5,126,4.5,0.001,12,1.0,0,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Jeremy Pied,28,2,3.5,136,4.5,0.001,5,2.0,0,4,14,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Jason McCarthy,21,3,0.25,53,4.5,0.001,0,1.0,0,1,14,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Jan Bednarek,21,3,0.5,9,4.5,0.004,0,2.0,1,1,14,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Joe Allen,27,2,15.0,523,5.5,0.06,118,2.0,0,3,15,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Marko ArnautoviÄ‡,28,1,15.0,579,7.0,0.006999999999999999,117,1.0,0,4,15,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Lee Grant,34,4,1.0,480,4.5,0.012,106,1.0,0,6,15,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Erik Pieters,28,3,7.0,134,5.0,0.013,103,2.0,0,4,15,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Steven Fletcher,30,1,3.0,522,5.0,0.01,103,2.0,0,4,15,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Ryan Shawcross,29,3,11.0,281,5.0,0.01,94,2.0,0,4,15,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Xherdan Shaqiri,25,1,15.0,1000,6.0,0.032,80,2.0,0,3,15,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Peter Crouch,36,1,1.5,2656,5.0,0.029,79,1.0,0,6,15,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Glenn Whelan,33,2,2.5,182,4.5,0.004,62,2.0,0,5,15,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Charlie Adam,31,2,3.5,561,5.0,0.001,59,2.0,0,4,15,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Geoff Cameron,32,3,3.0,260,4.5,0.005,58,4.0,0,5,15,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Glen Johnson,32,3,5.0,512,4.5,0.008,56,1.0,0,5,15,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Mame Biram Diouf,29,1,7.0,310,5.5,0.004,51,4.0,0,4,15,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Ramadan Sobhi,20,1,5.0,461,5.0,0.011,36,4.0,0,1,15,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
Marc Muniesa,25,3,3.0,172,4.5,0.002,34,2.0,0,3,15,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Bojan KrkiÄ‡,26,1,5.0,1325,5.5,0.002,30,2.0,0,3,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Phil Bardsley,32,3,1.5,365,4.5,0.0,27,2.0,0,5,15,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Saido Berahino,23,1,15.0,841,6.0,0.008,26,1.0,0,2,15,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Giannelli Imbula,24,2,12.0,238,4.5,0.002,24,2.0,0,2,15,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Jack Butland,24,4,15.0,402,5.0,0.028,20,1.0,0,2,15,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Ibrahim Afellay,31,2,3.0,461,5.0,0.0,15,2.0,0,4,15,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Josh Tymon,18,3,1.0,120,4.5,0.001,9,1.0,0,1,15,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Gylfi Sigurdsson,27,1,25.0,861,8.5,0.087,181,2.0,0,3,16,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Fernando Llorente,32,1,6.0,1423,7.5,0.006999999999999999,146,2.0,0,5,16,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Åukasz FabiaÅ„ski,32,4,9.0,285,4.5,0.06200000000000001,116,2.0,0,5,16,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Leroy Fer,27,2,8.0,411,5.5,0.006,95,2.0,0,3,16,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Alfie Mawson,23,3,6.0,509,5.0,0.018000000000000002,94,1.0,0,2,16,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Kyle Naughton,28,3,5.0,170,4.5,0.02,82,1.0,0,4,16,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Wayne Routledge,32,1,2.5,264,5.5,0.001,74,1.0,0,5,16,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Federico Fernandez,28,3,9.0,116,4.5,0.004,63,3.0,0,4,16,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Martin Olsson,29,3,5.0,458,5.0,0.003,52,2.0,0,4,16,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Tom Carroll,25,2,6.0,432,4.5,0.043,52,1.0,0,3,16,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Ki Sung-yueng,28,2,7.0,478,5.0,0.0,41,4.0,0,4,16,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Jordan Ayew,25,1,7.5,676,5.0,0.02,39,4.0,0,3,16,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Modou Barrow,24,1,3.0,437,5.0,0.001,34,4.0,0,2,16,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Leon Britton,34,2,1.0,218,4.5,0.001,32,1.0,0,6,16,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Stephen Kingsley,22,3,0.75,168,4.5,0.002,29,2.0,0,2,16,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Ã€ngel Rangel,34,3,1.0,137,4.0,0.188,26,2.0,0,6,16,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Luciano Narsingh,26,1,5.0,448,5.0,0.001,25,2.0,0,3,16,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Jay Fulton,23,2,0.5,104,4.5,0.001,19,2.0,0,2,16,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Jefferson Montero,27,1,4.5,187,5.0,0.001,18,3.0,0,3,16,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Mike van der Hoorn,24,3,2.0,154,4.5,0.001,16,2.0,0,2,16,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Nathan Dyer,29,1,3.5,313,4.5,0.001,12,1.0,0,4,16,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Oliver McBurnie,21,1,0.25,149,4.5,0.006999999999999999,5,2.0,0,1,16,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Kristoffer Nordfeldt,28,4,1.5,82,4.0,0.017,3,2.0,0,4,16,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Roque Mesa,28,2,12.0,110,4.5,0.009000000000000001,0,2.0,1,4,16,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Tammy Abraham,19,1,8.0,1227,5.5,0.033,0,1.0,0,1,16,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Dele Alli,21,2,45.0,4626,9.5,0.386,225,1.0,0,1,17,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Harry Kane,23,1,60.0,4161,12.5,0.35100000000000003,224,1.0,0,2,17,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Christian Eriksen,25,1,40.0,1130,9.5,0.12,218,2.0,0,3,17,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Son Heung-min,25,1,30.0,2185,8.0,0.016,174,4.0,0,3,17,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Hugo Lloris,30,4,24.0,847,5.5,0.126,143,2.0,0,4,17,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Jan Vertonghen,30,3,28.0,511,6.0,0.09,126,2.0,0,4,17,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Toby Alderweireld,28,3,35.0,756,6.0,0.133,120,2.0,0,4,17,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Victor Wanyama,26,2,25.0,1002,5.0,0.031000000000000007,103,4.0,0,3,17,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Eric Dier,23,2,25.0,1239,5.0,0.035,93,1.0,0,2,17,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Ben Davies,24,3,12.0,396,5.5,0.018000000000000002,90,2.0,0,2,17,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Danny Rose,27,3,28.0,848,6.5,0.006,84,1.0,0,3,17,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Mousa Dembele,30,2,18.0,1161,5.0,0.018000000000000002,76,2.0,0,4,17,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Vincent Janssen,23,1,13.0,1135,7.5,0.001,55,2.0,0,2,17,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Kieran Trippier,26,3,10.0,525,5.5,0.173,51,1.0,0,3,17,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Moussa Sissokho,27,2,20.0,1162,5.5,0.003,43,2.0,0,3,17,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Harry Winks,21,2,4.0,806,5.0,0.0,30,1.0,0,1,17,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Erik Lamela,25,1,25.0,672,6.5,0.001,28,3.0,0,3,17,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Michel Vorm,33,4,4.0,252,5.0,0.001,17,2.0,0,5,17,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Georges-Kevin N%27Koudou,22,1,7.0,510,5.5,0.001,8,2.0,0,2,17,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
Kevin Wimmer,24,3,7.0,355,4.5,0.003,2,2.0,0,2,17,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Ã‰tienne Capoue,29,2,9.0,412,5.5,0.08,131,2.0,0,4,18,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Troy Deeney,29,1,11.0,1141,6.5,0.034,130,1.0,0,4,18,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Heurelho Gomes,36,4,1.0,439,4.5,0.022,113,3.0,0,6,18,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Jose Holebas,33,3,2.0,345,5.0,0.006,87,2.0,0,5,18,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Miguel Britos,32,3,3.5,131,4.5,0.006,71,3.0,0,5,18,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Sebastian Prodl,30,3,4.0,169,4.5,0.008,67,2.0,0,4,18,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Nordin Amrabat,30,1,4.5,295,5.0,0.001,65,4.0,0,4,18,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
YounÃ¨s Kaboul,31,3,2.5,263,4.5,0.001,57,2.0,0,4,18,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Tom Cleverley,27,2,8.0,703,5.0,0.002,55,1.0,0,3,18,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Daryl Janmaat,27,3,7.0,242,5.0,0.003,50,2.0,0,3,18,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
Valon Behrami,32,2,2.5,237,4.5,0.004,48,2.0,0,5,18,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Roberto Pereyra,26,1,15.0,398,6.0,0.001,43,3.0,0,3,18,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Stefano Okaka,27,1,6.0,708,5.5,0.002,43,2.0,0,3,18,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Abdoulaye Doucoure,24,2,6.0,124,5.0,0.0,38,2.0,0,2,18,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Kabasele,26,3,5.5,177,4.5,0.002,35,2.0,0,3,18,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Craig Cathcart,28,3,4.0,128,4.5,0.0,31,2.0,0,4,18,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Isaac Success,21,1,4.0,474,5.5,0.001,28,4.0,0,1,18,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
Adrian Mariappa,30,3,1.0,201,4.0,0.054000000000000006,15,3.0,0,4,18,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Nathaniel Chalobah,22,2,5.0,977,4.5,0.023,12,1.0,0,2,18,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Mauro Zarate,30,1,2.0,473,5.5,0.0,8,3.0,0,4,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Costel Pantilimon,30,4,3.0,268,4.5,0.002,2,2.0,0,4,18,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Kiko Femenia,26,3,4.0,74,4.5,0.003,0,2.0,1,3,18,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Steven Berghuis,25,1,5.5,164,5.0,0.001,0,2.0,0,3,18,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Will Hughes,22,2,8.0,258,5.0,0.006,0,1.0,1,2,18,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
