name,age,position_cat,market_value,page_views,fpl_value,fpl_sel,fpl_points,region,new_foreign,age_cat,club_id,big_club,new_signing,position_AM,position_CB,position_CF,position_CM,position_DM,position_GK,position_LB,position_LM,position_LW,position_RB,position_RM,position_RW,position_SS
Ben Mee,27,3,6.0,166,4.5,0.13699999999999998,94,1.0,0,3,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Stephen Ward,31,3,1.5,152,4.5,0.025,91,2.0,0,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Matthew Lowton,28,3,2.5,121,4.5,0.012,90,1.0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Ashley Barnes,27,1,2.5,287,5.5,0.012,81,1.0,0,3,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Jeff Hendrick,25,2,6.0,352,5.5,0.002,76,2.0,0,3,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Scott Arfield,28,2,3.0,304,5.0,0.001,69,3.0,0,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Steven Defour,29,2,6.0,336,5.5,0.002,54,2.0,0,4,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Dean Marney,33,2,1.0,171,4.5,0.0,51,1.0,0,5,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Jack Cork,28,2,5.0,204,4.5,0.005,50,1.0,0,4,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Johann Berg Gudmundsson,26,1,2.5,180,5.0,0.001,47,2.0,0,3,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
Robbie Brady,25,2,10.0,614,5.5,0.004,39,2.0,0,3,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
James Tarkowski,24,3,2.0,116,4.5,0.001,23,1.0,0,2,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Ashley Westwood,27,2,4.0,161,4.5,0.001,13,1.0,0,3,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Kevin Long,26,3,0.5,68,4.0,0.017,3,2.0,0,3,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Matthew Taylor,35,2,0.25,255,4.5,0.004,0,1.0,0,6,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Eden Hazard,26,1,75.0,4220,10.5,0.023,224,2.0,0,3,5,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Diego Costa,28,1,50.0,4454,10.0,0.03,196,2.0,0,4,5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Gary Cahill,31,3,16.0,1420,6.5,0.12,178,1.0,0,4,5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Marcos Alonso Mendoza,26,3,25.0,3069,7.0,0.124,177,2.0,0,3,5,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Cesar Azpilicueta,27,3,30.0,869,6.5,0.123,170,2.0,0,3,5,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Pedro,29,1,28.0,1500,8.0,0.078,162,2.0,0,4,5,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Thibaut Courtois,25,4,40.0,1260,5.5,0.185,141,2.0,0,3,5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
David Luiz,30,3,30.0,2745,6.0,0.203,132,3.0,0,4,5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Cesc Fabregas,30,2,35.0,2378,7.0,0.075,121,2.0,0,4,5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Willian,28,1,32.0,1165,7.0,0.09,114,3.0,0,4,5,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Victor Moses,26,2,18.0,2537,6.5,0.002,105,4.0,0,3,5,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Nemanja Matic,28,2,35.0,892,5.0,0.05,105,2.0,0,4,5,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
