name,age,position,position_cat,market_value,page_views,fpl_value,fpl_sel,fpl_points,region,new_foreign,age_cat,club_id,big_club,new_signing
Ryan Bertrand,27,LB,3,20.0,578,5.5,0.11199999999999999,123,1.0,0,3,14,0,0
DuÅ¡an TadiÄ‡,28,LW,1,17.0,458,6.5,0.049,108,2.0,0,4,14,0,0
Cedric Soares,25,RB,3,15.0,338,5.0,0.16399999999999998,102,2.0,0,3,14,0,0
James Ward-Prowse,22,CM,2,15.0,416,5.5,0.022000000000000002,92,1.0,0,2,14,0,0
Oriol Romeu,25,DM,2,10.0,476,4.5,0.042,80,2.0,0,3,14,0,0
Maya Yoshida,28,CB,3,5.0,317,5.0,0.011000000000000001,78,4.0,0,4,14,0,0
Steven Davis,32,CM,2,6.0,310,5.0,0.002,77,2.0,0,5,14,0,0
Virgil van Dijk,26,CB,3,30.0,1102,5.5,0.04,75,2.0,0,3,14,0,0
Charlie Austin,28,CF,1,13.0,874,6.5,0.021,62,1.0,0,4,14,0,0
Jack Stephens,23,CB,3,3.5,249,5.0,0.004,60,1.0,0,2,14,0,0
Shane Long,30,CF,1,9.0,703,6.0,0.003,57,2.0,0,4,14,0,0
Sofiane Boufal,23,AM,1,15.0,590,6.0,0.003,40,4.0,0,2,14,0,1
Jordy Clasie,26,DM,2,10.0,201,4.5,0.004,38,2.0,0,3,14,0,0
Pierre-Emile Hojbjerg,21,CM,2,8.0,368,4.5,0.004,38,2.0,0,1,14,0,1
Manolo Gabbiadini,25,CF,1,15.0,2012,7.0,0.052000000000000005,38,2.0,0,3,14,0,0
Sam McQueen,22,LM,2,0.75,221,4.5,0.001,23,1.0,0,2,14,0,0
Matt Targett,21,LB,3,3.0,110,4.5,0.002,12,1.0,0,1,14,0,0
Josh Sims,20,RW,1,0.5,126,4.5,0.001,12,1.0,0,1,14,0,0
Jeremy Pied,28,RM,2,3.5,136,4.5,0.001,5,2.0,0,4,14,0,1
Jason McCarthy,21,CB,3,0.25,53,4.5,0.001,0,1.0,0,1,14,0,0
Jan Bednarek,21,CB,3,0.5,9,4.5,0.004,0,2.0,1,1,14,0,0
Joe Allen,27,CM,2,15.0,523,5.5,0.06,118,2.0,0,3,15,0,1
Marko ArnautoviÄ‡,28,LW,1,15.0,579,7.0,0.006999999999999999,117,1.0,0,4,15,0,0
Lee Grant,34,GK,4,1.0,480,4.5,0.012,106,1.0,0,6,15,0,1
Erik Pieters,28,LB,3,7.0,134,5.0,0.013000000000000001,103,2.0,0,4,15,0,0
Steven Fletcher,30,CF,1,3.0,522,5.0,0.01,103,2.0,0,4,15,0,0
Ryan Shawcross,29,CB,3,11.0,281,5.0,0.01,94,2.0,0,4,15,0,0
Xherdan Shaqiri,25,RW,1,15.0,1000,6.0,0.032,80,2.0,0,3,15,0,0
Peter Crouch,36,CF,1,1.5,2656,5.0,0.028999999999999998,79,1.0,0,6,15,0,0
Glenn Whelan,33,DM,2,2.5,182,4.5,0.004,62,2.0,0,5,15,0,0
Charlie Adam,31,CM,2,3.5,561,5.0,0.001,59,2.0,0,4,15,0,0
Geoff Cameron,32,CB,3,3.0,260,4.5,0.005,58,4.0,0,5,15,0,0
Glen Johnson,32,RB,3,5.0,512,4.5,0.008,56,1.0,0,5,15,0,0
Mame Biram Diouf,29,CF,1,7.0,310,5.5,0.004,51,4.0,0,4,15,0,0
Ramadan Sobhi,20,LW,1,5.0,461,5.0,0.011000000000000001,36,4.0,0,1,15,0,1
Marc Muniesa,25,CB,3,3.0,172,4.5,0.002,34,2.0,0,3,15,0,0
Bojan KrkiÄ‡,26,SS,1,5.0,1325,5.5,0.002,30,2.0,0,3,15,0,0
Phil Bardsley,32,RB,3,1.5,365,4.5,0.0,27,2.0,0,5,15,0,0
Saido Berahino,23,CF,1,15.0,841,6.0,0.008,26,1.0,0,2,15,0,0
Giannelli Imbula,24,DM,2,12.0,238,4.5,0.002,24,2.0,0,2,15,0,0
Jack Butland,24,GK,4,15.0,402,5.0,0.027999999999999997,20,1.0,0,2,15,0,0
Ibrahim Afellay,31,LM,2,3.0,461,5.0,0.0,15,2.0,0,4,15,0,0
Josh Tymon,18,LB,3,1.0,120,4.5,0.001,9,1.0,0,1,15,0,0
Gylfi Sigurdsson,27,AM,1,25.0,861,8.5,0.087,181,2.0,0,3,16,0,0
Fernando Llorente,32,CF,1,6.0,1423,7.5,0.006999999999999999,146,2.0,0,5,16,0,1
Åukasz FabiaÅ„ski,32,GK,4,9.0,285,4.5,0.062000000000000006,116,2.0,0,5,16,0,0
Leroy Fer,27,CM,2,8.0,411,5.5,0.006,95,2.0,0,3,16,0,1
Alfie Mawson,23,CB,3,6.0,509,5.0,0.018000000000000002,94,1.0,0,2,16,0,1
Kyle Naughton,28,RB,3,5.0,170,4.5,0.02,82,1.0,0,4,16,0,0
Wayne Routledge,32,LW,1,2.5,264,5.5,0.001,74,1.0,0,5,16,0,0
Federico Fernandez,28,CB,3,9.0,116,4.5,0.004,63,3.0,0,4,16,0,0
Martin Olsson,29,LB,3,5.0,458,5.0,0.003,52,2.0,0,4,16,0,0
Tom Carroll,25,CM,2,6.0,432,4.5,0.043,52,1.0,0,3,16,0,0
Ki Sung-yueng,28,DM,2,7.0,478,5.0,0.0,41,4.0,0,4,16,0,0
Jordan Ayew,25,CF,1,7.5,676,5.0,0.02,39,4.0,0,3,16,0,0
Modou Barrow,24,RW,1,3.0,437,5.0,0.001,34,4.0,0,2,16,0,0
Leon Britton,34,CM,2,1.0,218,4.5,0.001,32,1.0,0,6,16,0,0
Stephen Kingsley,22,LB,3,0.75,168,4.5,0.002,29,2.0,0,2,16,0,0
Ã€ngel Rangel,34,RB,3,1.0,137,4.0,0.188,26,2.0,0,6,16,0,0
Luciano Narsingh,26,RW,1,5.0,448,5.0,0.001,25,2.0,0,3,16,0,0
Jay Fulton,23,CM,2,0.5,104,4.5,0.001,19,2.0,0,2,16,0,0
Jefferson Montero,27,LW,1,4.5,187,5.0,0.001,18,3.0,0,3,16,0,0
Mike van der Hoorn,24,CB,3,2.0,154,4.5,0.001,16,2.0,0,2,16,0,1
Nathan Dyer,29,RW,1,3.5,313,4.5,0.001,12,1.0,0,4,16,0,0
Oliver McBurnie,21,CF,1,0.25,149,4.5,0.006999999999999999,5,2.0,0,1,16,0,0
Kristoffer Nordfeldt,28,GK,4,1.5,82,4.0,0.017,3,2.0,0,4,16,0,0
Roque Mesa,28,CM,2,12.0,110,4.5,0.009000000000000001,0,2.0,1,4,16,0,0
Tammy Abraham,19,CF,1,8.0,1227,5.5,0.033,0,1.0,0,1,16,0,0
Dele Alli,21,CM,2,45.0,4626,9.5,0.386,225,1.0,0,1,17,1,0
Harry Kane,23,CF,1,60.0,4161,12.5,0.35100000000000003,224,1.0,0,2,17,1,0
Christian Eriksen,25,AM,1,40.0,1130,9.5,0.12,218,2.0,0,3,17,1,0
Son Heung-min,25,LW,1,30.0,2185,8.0,0.016,174,4.0,0,3,17,1,0
Hugo Lloris,30,GK,4,24.0,847,5.5,0.126,143,2.0,0,4,17,1,0
Jan Vertonghen,30,CB,3,28.0,511,6.0,0.09,126,2.0,0,4,17,1,0
Toby Alderweireld,28,CB,3,35.0,756,6.0,0.133,120,2.0,0,4,17,1,0
Victor Wanyama,26,DM,2,25.0,1002,5.0,0.031000000000000003,103,4.0,0,3,17,1,1
Eric Dier,23,DM,2,25.0,1239,5.0,0.035,93,1.0,0,2,17,1,0
Ben Davies,24,LB,3,12.0,396,5.5,0.018000000000000002,90,2.0,0,2,17,1,0
Danny Rose,27,LB,3,28.0,848,6.5,0.006,84,1.0,0,3,17,1,0
Mousa Dembele,30,CM,2,18.0,1161,5.0,0.018000000000000002,76,2.0,0,4,17,1,0
Vincent Janssen,23,CF,1,13.0,1135,7.5,0.001,55,2.0,0,2,17,1,1
Kieran Trippier,26,RB,3,10.0,525,5.5,0.17300000000000001,51,1.0,0,3,17,1,0
Moussa Sissokho,27,CM,2,20.0,1162,5.5,0.003,43,2.0,0,3,17,1,1
Harry Winks,21,CM,2,4.0,806,5.0,0.0,30,1.0,0,1,17,1,0
Erik Lamela,25,RW,1,25.0,672,6.5,0.001,28,3.0,0,3,17,1,0
Michel Vorm,33,GK,4,4.0,252,5.0,0.001,17,2.0,0,5,17,1,0
Georges-Kevin N%27Koudou,22,LW,1,7.0,510,5.5,0.001,8,2.0,0,2,17,1,1
Kevin Wimmer,24,CB,3,7.0,355,4.5,0.003,2,2.0,0,2,17,1,0
Ã‰tienne Capoue,29,DM,2,9.0,412,5.5,0.08,131,2.0,0,4,18,0,0
Troy Deeney,29,CF,1,11.0,1141,6.5,0.034,130,1.0,0,4,18,0,0
Heurelho Gomes,36,GK,4,1.0,439,4.5,0.022000000000000002,113,3.0,0,6,18,0,0
Jose Holebas,33,LB,3,2.0,345,5.0,0.006,87,2.0,0,5,18,0,0
Miguel Britos,32,CB,3,3.5,131,4.5,0.006,71,3.0,0,5,18,0,0
Sebastian Prodl,30,CB,3,4.0,169,4.5,0.008,67,2.0,0,4,18,0,0
Nordin Amrabat,30,LW,1,4.5,295,5.0,0.001,65,4.0,0,4,18,0,0
YounÃ¨s Kaboul,31,CB,3,2.5,263,4.5,0.001,57,2.0,0,4,18,0,1
Tom Cleverley,27,CM,2,8.0,703,5.0,0.002,55,1.0,0,3,18,0,0
Daryl Janmaat,27,RB,3,7.0,242,5.0,0.003,50,2.0,0,3,18,0,1
Valon Behrami,32,DM,2,2.5,237,4.5,0.004,48,2.0,0,5,18,0,0
Roberto Pereyra,26,AM,1,15.0,398,6.0,0.001,43,3.0,0,3,18,0,1
Stefano Okaka,27,CF,1,6.0,708,5.5,0.002,43,2.0,0,3,18,0,1
Abdoulaye Doucoure,24,CM,2,6.0,124,5.0,0.0,38,2.0,0,2,18,0,0
Kabasele,26,CB,3,5.5,177,4.5,0.002,35,2.0,0,3,18,0,1
Craig Cathcart,28,CB,3,4.0,128,4.5,0.0,31,2.0,0,4,18,0,0
Isaac Success,21,LW,1,4.0,474,5.5,0.001,28,4.0,0,1,18,0,1
Adrian Mariappa,30,CB,3,1.0,201,4.0,0.054000000000000006,15,3.0,0,4,18,0,1
Nathaniel Chalobah,22,DM,2,5.0,977,4.5,0.023,12,1.0,0,2,18,0,0
Mauro Zarate,30,SS,1,2.0,473,5.5,0.0,8,3.0,0,4,18,0,0
Costel Pantilimon,30,GK,4,3.0,268,4.5,0.002,2,2.0,0,4,18,0,0
Kiko Femenia,26,RB,3,4.0,74,4.5,0.003,0,2.0,1,3,18,0,0
Steven Berghuis,25,RW,1,5.5,164,5.0,0.001,0,2.0,0,3,18,0,0
Will Hughes,22,CM,2,8.0,258,5.0,0.006,0,1.0,1,2,18,0,0
Gareth McAuley,37,CB,3,1.0,458,5.0,0.11800000000000001,131,2.0,0,6,19,0,0
Salomon Rondon,27,CF,1,15.0,502,6.5,0.02,118,3.0,0,3,19,0,0
Matt Phillips,26,RW,1,9.0,454,6.0,0.055999999999999994,115,2.0,0,3,19,0,1
Ben Foster,34,GK,4,4.0,484,4.5,0.207,113,1.0,0,6,19,0,0
Nacer Chadli,27,LW,1,15.0,570,6.0,0.024,110,2.0,0,3,19,0,1
Craig Dawson,27,RB,3,6.0,215,5.0,0.06,102,1.0,0,3,19,0,0
Chris Brunt,32,LM,2,4.0,242,5.5,0.008,99,2.0,0,5,19,0,0
James Morrison,31,CM,2,5.0,238,5.5,0.0,84,2.0,0,4,19,0,0
Jonny Evans,29,CB,3,7.0,375,5.0,0.016,79,2.0,0,4,19,0,0
Jake Livermore,27,DM,2,7.0,564,5.0,0.002,77,1.0,0,3,19,0,0
Allan Nyom,29,RB,3,4.5,236,5.0,0.003,74,4.0,0,4,19,0,1
